"industry","location","train_num_rows","mae","adj_r_squared","rmse","forecast"
1,1,42,5.1727997495874,0.802451274377406,11510.1173129463,174129.00129332
1,2,42,4.0292149330064,0.539102600295776,8454.108805287,201768.368366009
1,3,42,5.97285045934668,0.90707949708654,12016.0064078818,186172.361595394
1,4,42,1.86347467895797,0.824274393795036,5144.34923475189,200058.879701166
1,5,42,3.98718190954353,0.624490787819085,7469.29745962588,143719.703080082
1,6,42,3.41132021559896,0.717570099329925,7311.5597390622,124421.037013736
1,7,42,12.7425370479816,0.404212519945874,27294.5700890196,157669.219582543
1,8,42,8.92587514160044,0.138608013002623,14334.4271281244,135766.789180524
1,9,42,5.53290751640793,0.642854606320709,12094.4675904293,186918.264640845
1,10,42,7.09235044787339,0.769489649443895,20159.1393468996,225624.739663466
2,1,42,5.49787021421662,0.47209538236838,28799.8756619902,466508.824159947
2,2,42,4.15710864878202,0.867221173869934,21046.8440136939,514438.86123914
2,3,42,15.1039958970213,0.863675776513289,67428.1192576562,573561.282218623
2,4,42,9.54552605159283,0.480131174757416,30993.0905102318,357826.96057862
2,5,42,9.28151027658804,0.505665765595058,36785.7193896886,434710.109984786
2,6,42,7.5371841525704,0.857074340059115,29540.9524005053,357159.867017412
2,7,42,13.5428980625435,0.696979648881485,56391.4444816288,374169.883135301
2,8,42,4.24578341413883,0.550591138113161,17814.4642910942,444901.133743238
2,9,42,3.95510240363375,0.421457390594022,25226.1192533995,529815.720738386
2,10,42,16.4608290791135,0.629592017060825,64865.8142949379,377232.666698673
3,1,42,10.8491277347927,0.638954272849243,97562.9635255887,862240.610167731
3,2,42,2.77693268029912,0.71689611735443,29736.4133685306,861260.115636019
3,3,42,6.75832151015169,0.449607281979305,58944.8336463576,951286.577526414
3,4,42,7.56880827769796,0.797653837896231,77523.7443119572,1241993.41795999
3,5,42,13.1411713868743,0.446578755928189,91569.9598972159,503280.569300139
3,7,42,7.73292291006118,0.754730213093813,56755.2702817037,789306.036080835
3,9,42,31.5500521909421,0.5206256761442,464293.849774615,1249570.86890688
4,1,42,5.8215818476925,0.879289517414108,25946.0096526123,476110.61161004
4,2,42,2.79293149891914,0.85709191098911,7370.5543277217,269441.147545693
4,3,42,6.38179021595734,0.871207744515823,22956.7919680606,438841.734521022
4,4,42,5.49782256917945,0.924390669568062,25502.7138505473,513244.053961212
4,5,42,6.55454110175738,0.796496223206695,27569.1709366974,511516.520084063
4,6,42,16.7990833328817,0.668426971040106,145706.333426342,994499.518760505
4,7,42,6.89551213730372,0.854071688209561,39445.6563583923,540110.967059778
4,8,42,7.81315528177623,0.756700074056248,17389.6587184055,284709.082652963
4,9,42,4.63002669087231,0.765745885636861,12634.4499565384,286987.710922405
4,10,42,5.69160321640669,0.542617416368026,20319.5484289805,329976.978736439
5,1,42,7.86251867697207,0.0902976684651184,60915.1861244901,722186.65396023
5,2,42,5.90645754189171,0.535684606336264,40199.4253988499,430857.907922571
5,3,39,13.4269906517229,-0.218880761433139,44670.9542482363,318978.793308075
5,4,42,13.9709908242354,0.780328444183527,61117.6236130219,386625.054042639
5,5,41,38.2647153633392,0.50172659198514,235552.45609671,265339.637633012
5,6,42,11.9203498801124,0.51938413272289,77331.5663553098,618153.950746338
5,7,42,8.3137114475892,0.520564765069489,35755.4237767114,348035.155767929
5,8,42,8.5759926915543,0.550447295688644,44233.7618258682,454142.656084714
5,9,42,5.3549474436119,0.670759198810883,35299.7347397582,551785.080228373
5,10,42,21.6951721551244,0.235534623815634,134178.59719075,647758.715035959
6,1,42,7.916985945752,0.781244153121227,3962578.78419661,51255702.8419609
7,1,42,7.01628167053651,0.586472846021414,24733.6047465478,346831.742223719
7,2,42,2.8060138275303,0.776468794646138,9447.15671963346,388951.299896335
7,3,42,14.3466059612693,0.480256255536859,55854.6472795399,257164.86500079
7,4,42,22.5632261970088,0.380224838737197,96416.618704936,419478.776158464
7,5,42,7.04641645741813,0.681130374303774,35070.2147360393,352519.718569757
7,6,42,14.4373001652055,-0.119411948603132,34769.4024087482,181448.010107493
7,7,42,10.3782394305662,0.731214562188785,30592.8283245236,221381.267543229
7,8,42,3.08250715799155,0.201723723481223,12956.6102837431,247147.321372222
7,9,42,45.1145642523955,0.392607624221885,225607.723047439,617497.750061372
7,10,42,23.6837282500921,0.192517829367635,95313.5692065529,388793.059659316
8,1,42,13.8486505032992,0.304002116029209,141742.014977399,1310613.10290024
8,2,42,14.4904630216771,0.880706910983655,113537.288277304,970496.746149794
8,3,42,10.8498344567263,0.730872662358784,79915.719102367,1073733.83498902
8,4,42,3.95374931716199,0.420311709994948,19210.5102392594,506043.263193869
8,5,42,82.8119562564667,0.423816908634607,186013.104173603,415545.55902088
8,6,42,13.2540351795713,0.689621361838027,93275.4450028448,1019468.54000548
8,7,42,25.0012184593948,0.451307509582986,217772.117437033,647336.603258248
8,8,42,11.5683678550347,0.915025396470915,57027.7242235405,947400.002953159
8,9,42,9.76771407517278,0.862057964376025,42180.7762989819,690099.248944244
8,10,42,6.79445135765419,0.668023682830188,49613.4280411117,881458.81485447
9,1,42,11.0008794468973,0.715218738528976,77224.3007814955,804283.520794934
9,2,42,4.30669308638498,0.946638921969447,48168.0624331179,1495915.49559209
9,3,42,10.2908719403846,0.789738556441138,91454.9449940339,1360944.23567219
9,4,42,37.4050269684618,0.629221080769381,345418.139165898,663570.711873788
9,7,42,67.8812219295998,0.768339602518753,521124.69424596,1433333.31293048
9,9,34,12.7675806880437,0.893218973929467,172451.219838954,1685543.18179167
10,2,42,8.84576167970737,0.785661685702894,27863.0892282317,407941.127720202
10,5,42,16.3593618281466,0.515845081617661,22406.5940835743,147591.049320681
10,7,42,62.4136330166232,0.185216650669542,145364.976832231,182094.436634394
10,8,42,1.9398667860612,0.967354624993311,613228.12665678,33474889.2313486
